user_id,username,email,age,gender,country,signup_date,is_premium
1,johnsonjoshua,donaldgarcia@example.net,58.0,M,ST,2023-12-01,True
2,fjohnson,jesseguzman@example.net,65.0,F,FJ,2026-04-23,True
3,lrobinson,lisa02@example.net,32.0,M,NO,2024-12-28,True
4,eric51,jamesmichael@example.com,61.0,Other,UY,2024-09-01,True
5,blairamanda,smiller@example.net,55.0,F,VN,2025-01-30,True
6,janetwilliams,kendragalloway@example.org,19.0,M,BZ,2025-02-28,True
7,shawn52,michael41@example.net,32.0,Other,ZW,2024-04-09,True
8,frankgray,gabriellecameron@example.org,53.0,M,GT,2023-09-06,False
9,richard13,jason76@example.net,32.0,F,PK,2024-02-25,False
10,donald88,julie69@example.com,69.0,M,ML,2024-06-23,True
11,williamdavis,callahaneric@example.org,62.0,F,KZ,2025-05-04,False
12,cruzcaitlin,jrice@example.org,35.0,M,KZ,2024-01-12,True
13,kayla51,ryan70@example.net,66.0,F,WS,2024-08-31,True
14,williamrodriguez,meagan89@example.org,23.0,F,DE,2025-02-18,True
15,amberosborne,georgetracy@example.org,40.0,F,ML,2024-11-07,False
16,brianhumphrey,millertodd@example.org,69.0,M,PS,2025-10-23,False
17,davidalvarez,josephbrennan@example.com,52.0,M,GH,2025-11-02,False
18,jenniferross,samuel87@example.org,23.0,Other,HU,2024-07-02,False
19,morganbrianna,briannasmith@example.net,58.0,Other,ZM,2023-10-18,False
20,carlosjohnson,chad34@example.net,54.0,M,RU,2024-06-15,True
21,jenniferkhan,esanchez@example.com,20.0,Other,ET,2023-12-12,True
22,hopkinsmichael,uowens@example.org,67.0,F,GQ,2026-04-29,True
23,brownjessica,wrightjames@example.com,32.0,M,CU,2025-05-04,False
24,joshuawright,ramosmichelle@example.net,35.0,F,BZ,2023-10-05,False
25,novaksara,gabrieltucker@example.org,28.0,F,MZ,2023-10-18,False
26,nicholasgalloway,sara74@example.com,31.0,Other,MC,2025-11-28,False
27,smoore,tanyariley@example.net,62.0,Other,BH,2024-11-17,True
28,williamsthomas,brianromero@example.org,,Other,BJ,2026-01-28,True
29,leonardjoe,davidashley@example.net,52.0,Other,UG,2023-09-18,True
30,barnesbrandy,sarah35@example.org,28.0,F,IN,2025-03-24,False
31,emilyevans,sarah10@example.com,35.0,Other,VU,2025-12-09,True
32,jonesjason,david51@example.org,61.0,F,MN,2024-10-03,True
33,samueldaniels,cheryl80@example.net,32.0,M,TG,2024-10-26,False
34,mcmillandennis,prestonjulia@example.org,43.0,F,IR,2024-09-28,True
35,jenniferharris,william40@example.org,31.0,Other,ZW,2025-05-07,False
36,bradley52,evan78@example.net,31.0,Other,NP,2025-12-06,False
37,rodriguezsierra,amydavenport@example.net,43.0,Other,TG,2024-03-05,False
38,tanderson,rachel05@example.org,27.0,F,KZ,2024-08-09,True
39,gomezanita,vdickson@example.org,33.0,Other,GW,2024-03-27,False
40,nicolejohnson,kimberly63@example.com,65.0,Other,DJ,2026-07-12,False
41,reyesbenjamin,dwalker@example.com,55.0,F,KP,2024-07-06,False
42,andrewlee,joshua14@example.com,32.0,M,BA,2025-09-17,False
43,ifrazier,sheila14@example.org,23.0,M,TT,2024-09-03,True
44,rodriguezryan,samuel81@example.com,27.0,Other,TR,2024-05-09,True
45,bradley60,michaeljones@example.net,68.0,Other,LS,2026-03-13,False
